fan;Savol;JT;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"Hallo, ich  bin  Laura. Und ___ bist du?";0;wer;was;wie;wo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich komme aus Spanien. Und du? ____ kommst du?;0;Woher;Wer;Wo;Wie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; Ich komme aus der ______;0;Schweiz;Spanien;Deutschland;?sterreich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili; Guten Tag, Frau Wachter! Wie geht es ____ ?                       ;0;Ihnen;dir;euch;Sie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Wie hei?en die Zahlen?   89;0;neunundachtzig;achtundneunzig;achtzigundneun;neunzigacht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;"Ich habe noch zwei ____ : Anja und Karla";0;Schwester;Bruder;Mutter;Enkel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das _____ mein Freund;0;ist;bist;sind;sein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das _____ meine Eltern;0;sind;ist;bist;bin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Ich ____ einen Job als Kellnerin.;0;habe;bin;mache;hat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nemis tili;Das ist meine _____;0;Familie;Vater;Sohn;Bruder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
