Savol;Javob1;Javob2;Javob3;Javob4
Asosiy vositalar hisobini tashkil etish nechanchi sonli stanadart bilan tartibga solinadi ; 5 ;18 ;4 ;21 
Ustav kapitali ro'yxatdan o'tkazildi, qanday buhgalteriya pravodkasi beriladi? ; Dt4610, Kt8330 ;Dt4610, Kt8710 ;Dt4610, Kt8510 ;Dt4010, Kt8310 
Inventarizatsiya jarayoni nechinchi sonli BHMS bilan tartiba solinadi? ; 19 ;18 ;17 ;21 
Buxgalteriya hisobi ma’lumotlaridan foydalanuvchilarni nechta guruhga ajratish mumkin? ; Ikki guruh: ichki va tashqi foydalanuvchilar ;Faqat tashqi foydalanuvchilar ;Faqat ichki  foydalanuvchilar ;Uch guruh: ichki, tashqi, davlat organlari 
Dastgox ustav kapitaliga ulush sifatida kiritilganda qanday buhgalteriya pravodkasi beriladi?  ; Dt0130, Kt4610 ;Dt4610, Kt0130 ;Dt46I0, Kt0120 ;Dt0130, Kt8510 
Inventarizatsiya natijasida aniqlangan ortiqcha tayyor mahsulotlarga qanday provodka beriladi? ; Dt 2810 Kt 9390 ;Dt2810 Kt2010 ;Dt2810 Kt 9110 ;Dt 2810 Kt 9210 
Moliyaviy hisobotning 1-shakli qanday nomlanadi? ; buxgalteriya balansi ;xususiy kapital to‘g‘risida hisobot ;moliyaviy natijalar to‘g‘risida hisobot ;pul oqimi to‘g‘risida hisobot 
Oylik Ish haqi hisoblash qanday turlarga bo'linadi? ; ishbay, vaqtbay ;ishbay, vaqtbay, kunbay ;ishbay, vaqtbay, soatbay ;vaqtbay, soatbay, kunbay 
O‘zbekiston Respublikasining «Buxgalteriya hisobi to‘g‘risida»gi Qonuniga muvofiq, yillik moliyaviy hisobotining 2-shakli qanday nomlanadi? ; moliyaviy natijalar to‘g‘risida hisobot ;xususiy kapital to‘g‘risida hisobot ;asosiy vositalar harakati to‘g‘risida hisobot ;pul oqimi to‘g‘risida hisobot 
Korxona kassasida naqd pullar qancha muddatgacha saqlanishi mumkin? ; 3 kun ;1 kun ;1 oy ;10 kun
