Savol;Javob1;Javob2;Javob3;Javob4
1.Asosiy vositalar hisobini tashkil etish nechanchi sonli stanadart bilan tartibga solinadiюю; 5; 18; 4; 21
2.Ustav kapitali ro'yxatdan o'tkazildi, qanday buhgalteriya pravodkasi beriladi?;Dt4610, Kt8330;Dt4610, Kt8710;Dt4610, Kt8510;Dt4010, Kt8310
3.Inventarizatsiya jarayoni nechinchi sonli BHMS bilan tartiba solinadi?; 19; 18; 17; 21
4.Buxgalteriya hisobi ma’lumotlaridan foydalanuvchilarni nechta guruhga ajratish mumkin?;Ikki guruh: ichki va tashqi foydalanuvchilar;Faqat tashqi foydalanuvchilar;Faqat ichki foydalanuvchilar;Uch guruh: ichki, tashqi, davlat organlari
5.Dastgox ustav kapitaliga ulush sifatida kiritilganda qanday buhgalteriya pravodkasi beriladi?;Dt0130, Kt4610;Dt4610, Kt0130;Dt46I0, Kt0120;Dt0130, Kt8510
6. Inventarizatsiya natijasida aniqlangan ortiqcha tayyor mahsulotlarga qanday provodka beriladi?;Dt 2810 Kt 9390;Dt2810 Kt2010;Dt2810 Kt 9110;Dt 2810 Kt 9210
7. Moliyaviy hisobotning 1-shakli qanday nomlanadi?;buxgalteriya balansi;xususiy kapital to‘g‘risida hisobot;moliyaviy natijalar to‘g‘risida hisobot;pul oqimi to‘g‘risida hisobot
8. Oylik Ish haqi hisoblash qanday turlarga bo'linadi?;ishbay, vaqtbay;ishbay, vaqtbay, kunbay;ishbay, vaqtbay, soatbay;vaqtbay, soatbay, kunbay
9. O‘zbekiston Respublikasining «Buxgalteriya hisobi to‘g‘risida»gi Qonuniga muvofiq, yillik moliyaviy hisobotining 2-shakli qanday nomlanadi?;moliyaviy natijalar to‘g‘risida hisobot;xususiy kapital to‘g‘risida hisobot;asosiy vositalar harakati to‘g‘risida hisobot;pul oqimi to‘g‘risida hisobot
10. Korxona kassasida naqd pullar qancha muddatgacha saqlanishi mumkin?;3 kun;1 kun;1 oy;10 kun
11. “Mahsulot yetkazib beruvchilar va pudratchilar bilan hisob-kitoblar” nechanchi schyot?; 6010; 9010; 6310; 5010;
12. Asosiy ishlab chiqarishga materiallar sarflandi?;Dt 2010, Kt 1010;Dt 2010, Kt 1510;Dt 2010 , Kt 1110;Dt 2010, Kt 2310
13. TMZlar ni hisobini yuritishda qaysi BHMS asos bo’ladi?;4-BHMS;3-BHMS;5-BHMS;6-BHMS
14. Buxgaltеr so’zining ma'nosi qaysi javobda to’g’ri ko’rsatilgan?;Nеmischa buch-kitob, halten-tutmoq;Lotincha saqlamoq;Franzuscha yuritmoq;Lotincha yozmoq
15. Ikkiyoqlama yozuv deganda nimani tushunasiz?;Har bir xo‘jalik operatsiyasining summasi: bir schyot debetida va ayni vaqtda o‘zaro bog‘liq   bo‘lgan boshqa schyotning kreditida qayd qilinishi;Xo‘jalik muomalalarini dastlabki hujjatlarda qayd etish;Xo‘jalikda sodir bo‘lgan muomalalarni ikkita schyotning debet tomonida aks ettirish;Xo‘jalik muomalalarini bitta schyotning debetiga yozish
16. Xom ashyoning tekin kelib tushishi qaysi schyotlarda aks ettiriladi.;Debet 1010 Kredit 8530;Debet 8530 Kredit 1010;Debet 1010 Kredit 8330;Debet 1100 Kredit 8530
17. Asosiy ishlab chiqarishda ortib qolgan benzin omborga qaytarilsa qandav provodka beriladi?;Debet 1030 Kredit 2010;Debet 2010 Kredit 2810;Debet 2010 Kredit 2310;Debet 2010 Kredit 1030
18. Tovar-moddiy zaxiralar inventarizatsiyasi qaysi BHMSlar asosida o‘tkaziladi?;4,19-BHMS;5,19 –BHMS;4,5,19-BHMS;5,19-BHMS
19. Asosiy ishlab chiqarishga yoqilg‘i materiallari sarflandi. Provodkada aks ettiring.;Debet 2010 Kredit 1030;Debet 2010 Kredit 1510;Debet 2010 Kredit 1110;Debet 2010 Kredit 2310
