Savol;Javob1;Javob2;Javob3;Javob4
Что характеризует первоначальную сумму собственного капитала предприятия?;уставный капитал;добавленный капитал;резервный капитал;целевое финансирование
Ввод объектов основных средств в эксплуатацию отражают проводкой;Дт 0100  Кт 0810;Дт 0810	Кт 6010;Дт 0100 - Кт 6010;Дт 0810	Кт 0100
Реализация готовой продукции отражается проводкой:;дебет 4010, кредит 9010;дебет 5010, кредит 5110;дебет 5010, кредит 5210;дебет 5010, кредит 4220;
Подотчетные лица возвратили не использованные или полученные ранее авансы и оприходованы денежные средства в кассу:;дебет 5010, кредит 4220-4290;дебет 5010, кредит 5110;дебет 5010, кредит 5210;дебет 5010, кредит 4610;
Эмиссионный доход в результате продажи акций по цене выше номинала и оприходованы денежные средства в кассу:;дебет 5010, кредит 8410;дебет 5010, кредит 4610;дебет 5010, кредит 4220;дебет 5010, кредит 5210;
Учредители внесли наличные денежные средства в счет их вкладов в уставный капитал предприятия и оприходованы денежные средства в кассу:;дебет 5010, кредит 4610;дебет 5010, кредит 8410;дебет 5010, кредит 9030;дебет 5010, кредит 5510;
Поступили различные платежи за коммунальные услуги, за услуги связи и т. п. и оприходован денежные средства в кассу:;дебет 5010, кредит 4890;дебет 5010, кредит 4610;дебет 5010, кредит 5510;дебет 5010, кредит 6810;
Денежные средства сданы из кассы и зачислены на расчетный счет в банках:;дебет 5110, кредит 5010;дебет 5210, кредит 5010;дебет 5510, кредит 5010;дебет 5710, кредит 5010;
Выкуплены у акционеров принадлежащие им акции и выданы наличные денежные средства расходным кассовым ордером:;дебет 8610, 8620, кредит 5010;дебет 5110 кредит 5010;дебет 5210, кредит 5010;дебет 6710, кредит 5010;
Минимальный размер оплаты труда:;920 000 сумов в месяц;822 000 сумов в месяц;300 000 сумов в месяц;1 000 000 сумов в месяц
Что означает проводка Дебет 2310 Кредит 6710;начисление зарплаты работникам вспомогательного производства;начисление зарплаты работникам основного производства;начисление зарплаты работникам обслуживающего производства;начисление зарплаты АУП
Что означает проводка Дебет 9420 Кредит 6710;начисление зарплаты АУП;начисление зарплаты работникам основного производства;начисление зарплаты работникам вспомогательного производства;начисление зарплаты работникам обслуживающего производства
Какой проводкой оформляется операция «Начисленные единовременные премии персоналу»;Дебет 9430 Кредит 6710;Дебет 3190 Кредит 6710;Дебет 1510 Кредит 6710;Нет верного ответа
Какой проводкой оформляется операция «Начислена оплата труда работникам, связанным с ликвидацией стихийных бедствий, пожаров»;Дебет 9720 Кредит 6710;Дебет9430 Кредит 6710;Дебет 1510 Кредит 6710;Дебет 2710 Кредит 6710
Что означает проводка Дебет 6710 Кредит 4220-4290;Удержаны невозвращенные авансы подотчетных лиц;Погашены обязательства по подписке на акции;Удержания с работников очередных платежей по расчетам за товары, приобретенные в кредит;Возмещения материального ущерба из сумм оплаты труда виновных работников
Сколько месяцев должен отработать работник чтобы получить отпуск;Минимум 6 месяцев;Минимум 4 месяцев;Минимум 9 месяцев;Минимум 12 месяцев
Удержанный подоходный налог осуществляется записью….;Дебет 6710 Кредит 6410;Дебет 6410 Ккредит 5110;Дебет 6710 Кредит 7510;Дебет 6410 Кредит 5210
Основным сводным документом по исчислению заработной платы является……:;расчетная ведомость;табель;платежные ведомости;справки-расчеты
Базовая расчетная величина (БРВ):;300 000;270 000;920 000;650 000
Отпуск за первый год работы может предоставляться работнику по истечении…;6 месяцев;10 месяцев;12 месяцев;8 месяцев
Какой проводкой оформляется операция «Возмещения материального ущерба из сумм оплаты труда виновных работников»;Дебет 6710 Кредит 4730;Дебет 6710 Кредит 4610;Дебет 6710 Кредит 4790;Дебет 6710 Кредит 5010
Какой проводкой оформляется операция «Удержания с работников очередных платежей по расчетам за товары, приобретенные в кредит»;Дебет 6710 Кредит 4710;Дебет 6710 Кредит 4610;Дебет 6710 Кредит 4810;Дебет 6710 Кредит 4730
Для определения суммы оплаты отпусков в расчет принимается общая сумма заработной платы, начисленная работникам за….;двенадцать месяцев;три месяца;шесть месяцев;один месяц
Выданы суммы начисленной оплаты труда из кассы:;дебет 6710, кредит 5010;дебет 4220-4290, кредит 5010;дебет 4720, кредит 5010;дебет 9720, кредит 5010;
Выданы подотчетные суммы из кассы расходным ордером:;дебет 4220-4290, кредит 5010;дебет 6710, кредит 5010;дебет 4010, кредит 5010;дебет 9720, кредит 5010;
Что характеризует первоначальную сумму собственного капитала предприятия?;Уставный капитал;Добавленный капитал;Резервный капитал;Целевое финансирование
Доход, возникающий при реализации акций по цене, которая превышает их номинальную стоимость это:;Добавленный капитал;Уставный капитал;Целевое финансирование;Резервный капитал
Часть собственного капитала, сформированного за счет прироста стоимости внеоборотных активов это:;Резервный капитал;Уставный капитал;Добавленный капитал;Нераспределенная прибыль
Средства, предназначенные для финансирования тех или иных мероприятий и не подлежащих возврату:;Целевое финансирование;Нераспределенная прибыль;Резервный капитал;Добавленный капитал
Увеличение или уменьшение уставного капитала осуществляется после внесения изменений в:;Учредительные документы организации и их перерегистрации;Бухгалтерскую учётную политику предприятия;Налоговую учётную политику предприятия;Все ответы верны
Учет уставного капитала ведется на пассивном счете:;8300;8700;7800;7100
Какой субсчёт лишний в счёте 8300:;8400 Доли участия;8310 Паи и вклады;8320 Привилегированные акции;8310 Простые акции
В течении какого времени нужно полностью сформировать уставный капитал:;1год;2года;3года;5 лет
Коммерческая организация, уставный капитал которой разделен на определенное число акций:;Акционерное Общество;Общество с Ограниченной Ответственностью;Государственное Унитарное Предприятие;Все ответы верны
Максимальное количество участников при создании ООО:;50;30;10;5
Счета учёта добаленного капитала:;8400;7900;7300;7000
Счета учёта резервного капитала:;8500;8300;7800;7300
Какой субсчёт лишний в счёте 8500:;8540 Имущество иностранного соучредителя;8530 Безвозмездно полученное имущество;8520 Резервный капитал (фонд);8510 Корректировки по переоценки долгосрочных активов
Минимальный размер резервного фонда согласно законодательству:;15% от уставного капитала;50% от уставного капитала;10% от уставного капитала;25% от уставного капитала
Счёт учёта нераспределенной прибыли:;8710;8610;8510;8410
Счёт учёта целевых поступлений:;8800;8200;8100;8000
Оплачены разные не компенсируемые расходы, связанные со стихийными бедствиями выдана из кассы расходным ордером:;дебет 9720, кредит 5010;дебет 4110, кредит 5010;дебет 0610, кредит 5010;дебет 5810, кредит 5010;
Недостача денежных средств из кассы (при инвентаризации) потери списаны за счет работников, виновных в причинении материального ущерба:;дебет 4730, кредит 5010;дебет 4110, кредит 5010;дебет 5210, кредит 5010;дебет 5510, кредит 5010;
Погашена задолженность по начисленным процентам, выдана из кассы расходным ордером:;дебет 6920, кредит 5010;дебет 4730, кредит 5010;дебет 6710, кредит 5010;дебет 4220, кредит 5010;
Поступление денег на расчетный счет от продажи товаров в кредит:;дебет 5110, кредит 4710;дебет 5110, кредит 5010;дебет 5110, кредит 4010;дебет 5110, кредит 5510;
