Savol;Javob1;Javob2;Javob3;Javob4
Axborotlarni taqdim etish nuqtai nazardan buxgalteriya hisobi turlarini aniqlang?;moliyaviy hisob va boshqaruv hisobi ;boshqaruv va statistik hisob ;moliyaviy hisob va operativ hisob ;moliyaviy hisob va soliqlar hisobi
Ikkiyoqlama yozuv deganda nimani tushinasiz?;bir operatsiyani ikkita schyotda qayd etish;ikki operatsiyani bitta schyotga yozish ;bir operatsiyani schyotning debet tomoniga yozish;bir operatsiyani schyotning kredit tomoniga yozishBuxgalteriya balansi aktiv tomoni ikkinchi bo‘limining nomini aniqlang? ;joriy aktivlar;uzoq muddatli aktivlar ;nomoliyaviy aktivlar ;debitorlar
21-sonli BHMS (Buxgalteriya hisobi milliy standarti)ga muvofiq buxgalteriya hisobining schyotlar rejasi nechta qismdan iborat? ;6;7;8;9
Buxgalteriya hisobida qaysi o‘lchov birligi muhim hisoblanadi?;pul (qiymat);mehnat ;natura ;miqdor
Buxgalteriya balansi passiv tomoni ikkinchi bo‘limining nomini aniqlang?;majburiyatlar;о‘z mablag‘larini tashkil topish manbalari ;majburiyatlar va daromadlar ;daromadlar va о‘z mablag‘larini tashkil topish manbalari
Buxgalteriya balansida tadbirkorlik sub'ektining mablag‘lari qaysi xususiyatiga ko‘ra joylashtiriladi?;hizmat muddatiga ko‘ra;likvidligiga ko‘ra ;to‘lov qobiliyatiga ko‘ra;foyda keltirishiga ko‘ra
"Eskirish" tushunchasi qo‘llanilmagan balans nima deb atalad? ;balans-netto ;balans-brutto ;gorizontal balan ;vertikal balans"Buxgalteriya hisobi to‘g‘risidagi" qonunda (3-moddasi) buxgalteriya hisobining nechta prinsipi ko‘rsatilgan?;3;6 ;4;5
Ikkiyoqlama yozuvning asoschisi kim hisoblanadi?;Luka Pacholi;Franchesko Benedetti;Jordano Bruno;Mark Antoniy
Ikkiyoqlama yozuvda xatoliklarni tuzatish uchun necha hil usuldan foydalaniladi? ;3 ;4 ;5 ;2
Buxgalteriya hisobining nechta ob'ekti mavjud?;7;5;6;3
Uzoq muddatli aktivlar 21-BHMSning qaysi qismida ifodalanadi?;1-chi qismida ;2-chi qismida;3-chi qismida;4-chi qismida
Hisobot davri oxiriga sal'doga ega bo‘lib, buxgalteriya balansida aks ettiriladigan aktivlar, majburiyatlar, sarmoyalarni aks ettiruvchi schyotlar-bu...? ;doimiy schyotlardir. ;vaqtinchalik schyotlardir. ;kontr aktiv schyotlardir. ;balansdan tashqari schyotlardir.
