Savol;Javob1;Javob2;Javob3;Javob4
Что такое ликвидность?; Трансформация активов в денежную наличность;Это платежеспособность	;Это устойчивость;Это банкротство
Активы, которые могут быть легко преобразованы в наличные средства – это..  ; быстро реализуемые активы 	;долгосрочные инвестиции	;нематериальные активы;основные средства
В наиболее общем смысле информация-это сведения:; раскрывающие объект внимания с какой-то новой, ранее не известной стороны;отраженные в отчетности, подтверженные аудитором;имеющие документальное подтверждение  	;полученные из достоверных источников 
Форматы и структура форм бухгалтерской отчетности: ; предопределены Законом «О бухгалтерском учете» ;предопределены Налоговым кодексом РУз. ;являются рекомендательными и приведены в положениях по бухгалтерскому учету;являются рекомендательными и приведены в приказе Минфина РУз.
Классификация финансовых вложений на долгосрочные и краткосрочные	; Предписана бухгалтерскими регулятивами	;Предписана налоговыми регулятивами	;Прописывается в уставных документах	;Осуществляется самостоятельно бухгалтером
Баланс представляет собой способ:	; группировки и отражения в денежной форме состава и размещения средств предприятия, источников их образования на определенную дату	;отражения доходов и расходов ;предприятия размещения доходов и расходов ;Предприятия группировки доходов и расходов предприятия
Безубыточный объём продукции -	; Объём продукции, при котором достигается равенство доходов и издержек	;Максимальный объём производства продукции	;Оптимальный объём продукции	;Минимальный объём продукции, который равен переменным затратам
Бухгалтерский баланс включает в себя следующие группы показателей	; активы, обязательства и собственный капитал	;Результативные и частные;капитал владельцев и акционерный капитал	;Показатели прибыли и убытки
В балансовой статье «Денежные средства» не отражаются:	; Денежная сумма, выданная подотчетному лицу	;Деньги в кассе;Деньги на расчетном счете;Валютные средства
В качестве дебитора не могут выступать	; Налоговые органы   	;покупатели	;Поставщики и подрядчики;Работники фирмы  
Конвергенция систем и моделей бухгалтерского учета - это:	; Сближение национальных систем учета ;Использование МСФО в качестве эталона ;Использование американского GAAP в качестве эталона	;Корректировка национальных регулятивов в соответствии с требованиями Международного валютного фонда
Бухгалтерский баланс это отчет 	; о средствах и их источниках	;о финансовых результатах	;об основных средствах	;о доходах и расходах
Быстрореализуемые активы – это . . .	; денежные средства + чистая дебиторская задолженность	;денежные средства на расчетном счете + дебиторская задолженность	;денежные средства + долгосрочная дебиторская задолженность	;денежные средства + кредиторская задолженность
В активе баланса выделяются следующие основные аналитические группы:; долгосрочные и текущие активы	;долгосрочные активы и средства в расчетах	;материалы и запасы, денежные средства и средства в расчетах	;основные средства и внеоборотные активы
В бухгалтерском балансе отражаются следующие элементы:	; активы, собственный капитал и заемный капитал	 ;долгосрочные активы и собственный капитал	;текущие активы и обязательства	;активы и обязательства
Какая модель методологии и организации бухгалтерского учета заложена в основу МСФО ; международная	;континентальная	;Англо-американская	;Североамериканская 
В доходах по финансовой деятельности не учитываются; Полученные суммы за штрафы, пении	;Доход от полученных дивидендов;Доход от положительных курсовых разниц	 ;Доход от долгосрочной аренды имущества
Экономический потенциал предприятия - это совокупность:	; Имущественного и финансового потенциала	;Активов, принадлежащих на праве собственности ;Активов, за вычетом ресурсов, находящихся на консервации	;Активов, за вычетом неликвидов
В какой из обязательных форм финансовой отчетности основными показателями является прибыль?	; Отчет о финансовых результатах ;Бухгалтерский баланс	;Отчет о движении основных средств	;Отчет о денежных потоках
Что понимается под ликвидными активами в методиках оценки ликвидности	; Любые активы, которые можно продать	 ;Оборотные активы	;Активы, за исключением материальных активов;Эквиваленты денежных средств
В каком году утвержден Закон РУз “О бухгалтерском учете”?	; 1996	;1993	;1992;1994
В каком документе установлена ежегодная норма амортизации основных средств; в Налоговом Кодексе Республики Узбекистан	;в отраслевых нормативных документах	;в НСБУ №5	;в положении о составе затрат
В каком источнике не отражены данные о собственном капитале?; Отчёт о финансовых результатах	;Бухгалтерский баланс	;Отчет о собственном капитале	;Счета учета капитала и резервов
В каком показателе отражен доход от реализации основных средств	; Прочие доходы от основной деятельности	;Чистая выручка от реализации продукции;Доходы по финансовой деятельности	;Чрезвычайные доходы
В каком показателе отражены  полученные суммы за штрафы?	; Прочие доходы от основной деятельности;Чистая выручка от реализации продукции	;Доходы по финансовой деятельности	;Чрезвычайные доходы
В каком разделе баланса отражен уставный капитал?	; 1-раздел пассива	;1-раздел актива;2-раздел пассива	;2-раздел актива
Кто родоначальник счетного анализа (анализа хозяйственной деятельности); Н.Вейцман	;З.Евзлин;Н.Блатов	;А.Рудановский   
Чистая прибыль-это прибыль:; Доступная к распределению среди собственников	;Подтвержденная налоговыми органами	;Очищенная от текущих обязательств перед кредиторами	;После начисления дивидендов по привилегированным акциям
Кто родоначальник балансоведения 	; З.Евзлин	;Н.Вейцман;Н.Блатов	;В.Ковалев
Балансовое уравнение-это формализованное выражение взаимосвязи между:; Системообразующими элементами баланса	;Статьями актива	;Статьями пассива;Статьями баланса и отчета о финансовых результатах
В какую группу по степени ликвидности входят денежные средства?	; Наиболее ликвидные активы	;Быстрореализуемые активы	;Медленнореализуемые активы;Постоянные пассивы
В отчете об изменениях капитала не отражается изменение:	; Доходов будущих периодов	;Нераспределенной прибыли	;Резервов, образованных в соответствии с законодательством;Резервов, образованных в соответствии с учредительными документами
