Savol;Javob1;Javob2;Javob3;Javob4
Riskning himoyalovchi funksiyasini ikki jihat to‘g‘ri ko‘rsatilgan javobni belgilang. ;tarixiy-genetik, ijtimoiy-huquqiy;huquqiy-genetik, tarixiy- ijtimoiy ;tarixiy-genetik, iqtisodiy-huquqiy ;ijtimoiy-huquqiy; moliyaviy-huquqiy 
“Noaniqlilik qarama-qarshiliklar natijasida kelib chiqadi, ya’ni insonlar nimalarni kutmoqdalar-u, nimalar sodir bo‘lmoqda, buning natijasi esa foyda yoki zararda namoyon bo‘ladi” degan fikr kimga tegishli? ;P.Samuelson;F.Nayt;A.Smit;J.Mill 
Moliyaviy risklarning qismi sifatida tashkilotlarning iqtisodiy faoliyati ko‘lamida yuzaga keluvchi risklar …….. deb ataladi. ;bozor risklari ;inflatsion risklar ; likvidlilik riski  ;investitsion riski 
Bozor riskini aniqlash jarayonini o‘z ichiga oluvchi vazifalar ketma-ketligi to‘g‘ri berilgan javobni belgilang. ;muammolarning qo‘yilishi, kerakli ma’lumotlarni yig‘ish va tahlil qilish, baholash usullarini tanlash va ularni qo‘llash, bozor bahosiga ta’sir etuvchi omillarni tahlil qilish, bozor riski haqida belgilangan shaklda hisobot tuzish; muammolarning qo‘yilishi, kerakli ma’lumotlarni yig‘ish va tahlil qilish, baholash usullarini tanlash va ularni qo‘llash, bozor riski haqida belgilangan shaklda hisobot tuzish; muammolarning qo‘yilishi, kerakli ma’lumotlarni yig‘ish va tahlil qilish, baholash usullarini tanlash va ularni qo‘llash, bozor bahosiga ta’sir etuvchi omillarni tahlil qilish;muammolarning qo‘yilishi, kerakli ma’lumotlarni yig‘ish va tahlil qilish, baholash usullarini tanlash va ularni qo‘llash 
Moliyaviy risklar ta’sirini aniqlash orqali xo‘jalik yurituvchi subyektlarning barcha imkoniyatlaridan to‘la foydalanish, korxonalarni rivojlantirish istiqbollarini belgilab berish va moliyaviy risklarni oldini olish ………………….. oshirishga imkon yaratadi. ;risklarni boshqarish imkoniyatlarini;korxonaning investitsion faolligini;korxonaning samaradorligini ;risklar ta’sirini
Bozor risklarni baholashning risk turlarini, uni vujudga keltiruvchi omillarni va risklarni pasaytirish bo‘yicha tashkiliy chora- tadbirlarni aniqlash maqsadini ko‘zlovchi turi ……. tahlili deb ataladi. ;sifat ;miqdoriy;statistik ;moliyaviy
Bozor risklarni baholashning loyiha risklarini sondagi ifodasini loyiha ko‘rsatkichlari orqali hisoblash imkonini beruvchi turi …………. tahlil deb ataladi?;miqdoriy  ; statistik ; sifat; moliyaviy
Kichik korxonalar va yirik korxonalar “Zararsizlik nuqtasini aniqlash” usulidan qanday sabablarga ko‘ra foydalanishadi?;bozor riskini baholashning ushbu usuli sodda tasavvurlarga asoslanadi va korxonalar zararsizlik modelidan olingan ma’lumot qaror qabul qilish shart bo‘lgan vaziyatlarda qo‘l keladi;bozor riskini baholashning ushbu usuli murakkab tasavvurlarga asoslanadi va korxonalar zararsizlik modelidan olingan ma’lumot qaror qabul qilish shart bo‘lgan vaziyatlarda qo‘l keladi;bozor riskini baholashning ushbu usuli sodda tasavvurlarga asoslanadi va olingan ma’lumot qaror qabul qilishda muhim rol o‘ynamaydi ;bozor riskini baholashning ushbu usuli chuqur tahlilga asoslanadi va olingan ma’lumot korxonaning moliyaviy qaror qabul qilishida muhim rol o‘ynaydi 
Firmaning savdo va ishlab chiqarish hajmiga qarab o‘zgarmaydigan xarajatlari ………. deb ataladi. ;o‘zgarmas xarajatlar;yarim o‘zgarmas xarajatlar; yarim o‘zgaruvchan xarajatlar ;o‘zgaruvchan xarajatlar 
Riskining klassik nazariyasi asoschilari to‘g‘ri ko‘rsatilgan qatorni ko‘rsating. ;A.Smit, D.Rikardo ;J.Sey, A.Smit  ;J.Mill, I.Senior  ;A.Marshal, A.Pigu
Firmaning faollik darajasini anglatuvchi ko‘rsatkich ………….. deb ataladi.;ishlab chiqarish hajmi;jami daromad;sotuv hajmi;FSTD 
Yirik kreditlar me’yoriy ko‘rsatkichining maksimal qiymati to‘g‘ri berilgan qatorni ko‘rsating. ;bank kapitalining 8 barobaridan oshmasligi kerak;bank kapitalining 8 barobari ;bank kapitalining 8 barobaridan kam bo‘lmasligi kerak; tog‘ri javob berilmagan 
Mijozning kreditga layoqatligiga to‘g‘ri ta’rif berilgan qatorni aniqlang. ;mijozning o‘z qarz majburiyatlari bo‘yicha to‘liq va o‘z vaqtida hisoblashish qobiliyati ;mijozning o‘z qarz majburiyatlari bo‘yicha qisman va o‘z vaqtida hisoblashish qobiliyati;mijozning o‘z qarz majburiyatlari bo‘yicha o‘z vaqtida hisoblashish qobiliyati ;mijozning o‘z qarz majburiyatlari bo‘yicha qisman hisoblashish qobiliyati 
Kreditga layoqatlilikni ifodalovchi qo‘shimcha ko‘rsatkichlar berilgan javobni aniqlang. ;aylanma mablag‘larining aylanuvchanlik; o‘z aylanma mablag‘lari mavjudligi; foyda va rentabellik koeffitsiyentlari ;qoplash; muxtoriylik va likvidlik koeffitsiyentlari;aylanma mablag‘larining aylanuvchanlik; o‘z aylanma mablag‘lari mavjudligi va rentabellik koeffitsiyentlari ;qoplash; muxtoriylik va foyda va rentabellik koeffitsiyentlari 
Korxonalarning kredit layoqatlik ko‘rsatkichlari bo‘yicha nechta sinfga ajaratiladi? ;3 ta sinfga ajaratiladi ;2 ta sinfga ajaratiladi ;4 ta sinfga ajaratiladi ;5 ta sinfga ajaratiladi 
Likvidlilik koeffitsiyenti 1,4; qoplash koeffitsiyenti 1,8; muxtoriylik koeffitsiyenti 0,4 ga teng. Korxona kredit layoqatlik ko‘rsatkichlari bo‘yicha qaysi sinfga mansub?;2-sinfga mansub ;3-sinfga mansub ;4-sinfga mansub ;1-sinfga mansub
Korxonaning foiz to‘lovlarini ushbu to‘lovlar amalga oshiriladigan foyda miqdori bilan taqqoslashni anglatuvchi ko‘rsatkich to‘g‘ri berilgan javobni aniqlang.;foizlarni qoplash koeffitsenti;foiz xarajatlari koeffitsiyenti;hisoblangan foiz koeffitsenti;foiz va soliqlar to‘languncha daromad (EBIT)
Korxonaning jami qarzi 75 mln so‘m, korxonaning jami aktivlari 1,5 mlrd.so‘m. Korxonaning qarzdorlik darajasini toping. ;5 foiz ; 6 foiz; 9 foiz ;15 foiz
Tashqi iqtisodiy faoliyat jarayonida ayirboshlash kurslarining o‘zgarishidan yoki boshqa turli valuta operatsiyalarini amalga oshirilishida yuzaga kelishi mumkin bo‘lgan yo‘qotishlar ……. deyiladi.;valuta riski ;bozor riski;tijorat riski; ayirboshlash riski
Valuta risklari yuzaga kelishining asosiy sababi to‘g‘ri ko‘rsatilgan javobni ko‘rsating.;valuta kurslarining o‘zgarishi ;AQSH dollarini beqarorligi ; investitsion muhitni o‘zgarishi;eksportiyor korxonalarni inqirozga uchrashi
Istalgan valutani tavsiflovchi asosiy omil to‘g‘ri ko‘rsatilgan javobni ko‘rsating.;import darajasini oshishi ; investitsiya muhitini yaxshilanishi ; rezident va norezidentlarning valutaga bo‘lgan ishonch darajasi; valayuta siyosatini erkinlashuvi
Valuta riski turlari to‘g‘ri ko‘rsatilgan javobni ko‘rsating.;operatsion, translatsion, iqtisodiy valuta riski ;moliyaviy, translatsion, iqtisodiy valuta riski ;bazaviy, xorijiy, operatsion valuta riski;sof, derevativ, translatsion, iqtisodiy valuta riski 
