Fan nomi (uz, ru);Savol;JT;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 fransuz tili (uz);Mettez ? la forme convenable : c'est �.. livre.;0;un;des;une;le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : c'est �.. fleur.;0;une;un;le;des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : c'est �.. femme.;0;une;un;le;des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : c'est �.. fille.;0;une;le;des;un;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : c'est �.. gar?on.;0;un;une;des;au;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : c'est �.. professeur ;0;un;des;au;du;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il y a �. fille.;0;une;un;des;au;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : dans la classe il y a �. fleurs;0;des;une;une;des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il y a �. professeur.;0;un;une;des;de ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il ya �.. garcons.;0;des;de;un ;une;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il ya �.. filles.;0;une;des;un;au;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il ya �..  livres;0;des;un;une;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il ya �.. chaises.;0;des;une;de ;un;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il ya �.. table.;0;une;de;un;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il ya �.. fenetres.;0;des;un;une;de;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : Dans la classe il ya �..  homme.;0;un;une;le;des;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. livre.;0;mon;ma;la;ton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. pere.;0;mon;ma;mes;leurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fransuz tili ;Mettez ? la forme convenable : J'aime �.. frere.;0;mon;ma;mes;la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
