Savol;Javob1;Javob2;Javob3;Javob4;
1. Информация это -;предварительно обработанные данные, годные для принятия управленческих решений;сообщения, находящиеся в хранилищах данных;сообщения, зафиксированные на машинных носителях.;сообщения, находящиеся в памяти компьютера;
2. К системным программам относятся:;все ответы верны;Архиваторы;Антивирусы;MS Windows;
3. ПЗУ – это память в которой:;хранится информация, присутствие которой постоянно необходимо в компьютере;хранится информация, предназначенная для обеспечения диалога пользователя и ЭВМ;хранится исполняемая в данный момент времени программа и данные, с которыми она непосредственно работает;все ответы верны;
4. ОЗУ – это память, в которой:;хранится исполняемая в данный момент времени программа и данные, с которой она непосредственно работает;хранится информация для долговременного хранения информации независимо от того, работает ЭВМ или нет;хранится информация, предназначенная для обеспечения диалога пользователя и ЭВМ;все ответы верны;
5. Операционные системы представляют собой программные продукты, входящие в состав…;системного программного обеспечения;прикладного программного обеспечения;системы управления базами данных;систем программирования;
6. Системное ПО;обеспечивает взаимодействие пользователя с аппаратными средствами;пользователь использует для решения своих задач;обеспечивает обмен данными с внешними устройствами;пользователь использует для создания новых программ;
7. Прикладное ПО;пользователь использует для решения своих задач;обеспечивает взаимодействие пользователя с аппаратными средствами;обеспечивает обмен данными с внешними устройствами;пользователь использует для создания новых программ;
8. Системы программирования;пользователь использует для создания новых программ;пользователь использует для решения своих задач;обеспечивает взаимодействие пользователя с аппаратными средствами;обеспечивает обмен данными с внешними устройствами;
9. Обобщенная геометрическая характеристика компьютерной сети – это:;Топология сети;Сервер сети;Удаленность компьютеров сети;Интранет ;
10. Что такое WWW?;Всемирная информационная сеть;Один из протоколов сети;Часть адреса электронной почты;Адрес домена;
11. Банкомант (АТМ automated teller machine);это многофункциональный банковский аппарат, предназначенный для обслуживания клиентов без банковского персонала.;это многофункциональный банковский аппарат, который непредназначен для обслуживания клиентов без банковского персонала.;Автоматизированное рабочее место;самоуправляющийся запрограммированный комплексный аппарат, который недает возможности гражданам оплачивать необходимые платежи самостоятельно.;
12. Иерархическая база данных – это?;БД, в которой элементы в записи упорядочены, т.е. один элемент считается главным, остальные подчиненными;БД, в которой записи расположены в произвольном порядке;БД, в которой информация организована в виде прямоугольных таблиц;БД, в которой существует возможность устанавливать дополнительно к вертикальным иерархическим связям горизонтальные связи;
13. Сетевая база данных – это?;БД, в которой принята свободная связь между элементами разных уровней;БД, в которой записи расположены в произвольном порядке;БД, в которой информация организована в виде прямоугольных таблиц;БД, в которой элементы в записи упорядочены, те один элемент считается главным, остальные подчиненными;
14. Реляционная база данных – это?;БД, в которой информация организована в виде прямоугольных таблиц;БД, в которой записи расположены в произвольном порядке;БД, в которой принята свободная связь между элементами разных уровней;БД, в которой элементы в записи упорядочены, те один элемент считается главным, остальные подчиненными;
15. Реляционные базы данных получили своё название благодаря тому, что;данные в них представлены в виде таблиц;БД и основная СУБД находятся на сервере, клиентская программа на рабочей станции посылает запрос и выводит на экран результат.;БД находится на сервере сети;СУБД на компьюторе пользователя;
16. Реляционная база данных это совокупность:;таблиц;полей;форм;записей;
17. Биллинговая система-... ;прикладное программное обеспечение поддержки бизнес-процессов биллинга;представляет собой взаимосвязанный набор средств и методов работы с информацией с целью управления банком.;совокупность программно-аппаратных средств, предназначенных для автоматизации деятельности, связанной с хранением, передачей и обработкой информации.;это взаимосвязанная совокупность информационных, технических, технологических и других средств, а также персонала, предназначенная для сбора, обработки, хранения и выдачи экономической информации и принятия управленческих решений.;
18. Что в следующем списке не является протоколом?;WWW;TCP/IP;HTTP;FTP;
19. Что такое WEB-браузер?;Программа, позволяющая просматривать Web-сайты;Программа подготовки почтового сообщения;Устройство для подключения к Интернет;Поисковая система;
20. Что такое сайт?;WEB-страница, расположенная по определенному адресу;Гипертекстовая страница;Электронное сообщение;Программа;
21. Что такое IP-адрес?;Уникальный идентификатор компьютера в Интернет;Адрес электронной почты;Адрес для размещения WEB-страниц;Устройство адресации;
22. Что такое SWIFT?;сообщество всемирных межбанковских финансовых телекоммуникаций;сообщество всемирных межбанковских финансовых переводов;сообщество республиканского межбанковских финансовых телекоммуникаций;сообщество всемирных межбанковских счетов;
