N;Savol;Javob1;Javob2;Javob3;Javob4;
1;Что отражается в балансе текущих операций?;Торговый баланс, баланс услуг, односторонние переводы;Торговый баланс, баланс услуг, односторонние переводы, чистые инвестиции из-за рубежа;Баланс услуг, односторонние переводы, чистые кредиты из-за рубежа;Торговый баланс, баланс услуг, односторонние переводы, чистые кредиты из-за рубежа
2;Глобальная миграция рабочей силы из одного места в другое называется...;Международная трудовая миграция;Экономическая интеграция;Международное разделение труда;Международная миграция занятости
3;Глобализация мировой экономики;представляет собой превращение мирового пространства в единую территорию, и в ней происходит свободное движение потоков товаров и услуг, капитала, информации.;означает усиление мер, направленных на защиту национальной экономики всеми странами;является лишь понятием, представляющим финансовые отношения в рамках народного хозяйства;представляет собой систему мер, направленных на ограничение свободы передвижения товаров, услуг и капитала в мировом масштабе
4;С чего начинается развитие валютного рынка?;Вексельные ярмарки;Валютные опционы;Внебиржевые отношения;Валютные биржи
5;Валютная система это…;Включает формы организации и управления валютными отношениями в соответствии с межгосударственным соглашением или национальным законодательством.;регулирование деятельности коммерческих банков в развивающихся странах;Отношение национальных компаний к влиянию мировой экономической системы в результате повышения их экономической устойчивости и увеличения объема международных операций;Производственные, торговые, политические и иные отношения конкретной страны с другими странами на основе международного разделения труда, специализации науки и производства, а также других факторов.
6;Какие существуют режимы обменного курса?;Режим свободного плавания, режим фиксированного курса, режим контролируемого плавания;Строго определенный режим курса, контролируемый режим плавания;Режим свободного плавания, режим фиксированного курса;Режим свободного плавания, режим фиксированного курса, режим контролируемого плавания, режим кросс-курса
7;Современная международная финансовая система …;это эффективно организованная форма глобальных валютных отношений, которая регулируется договорами, заключаемыми между различными странами;это система, направленная на защиту национальных экономик от изменений в мировом хозяйстве;мировая денежная система, служащая выражением валютных отношений;система сдерживания развития международных торговых отношений
8;В деятельности какого учреждения чаще всего используются операции валютного свопа?;Центральный Банк;Коммерческие банки;Кредитный союз;Валютная биржа
9;Для какой системы характерен стандарт экю? ;Европейская валютная система;Европейский экономический и валютный союз;Генуэзская валютная система;Бреттон-Вудская валютная система
10;Оценка единицы национальной валюты по отношению к иностранной валюте…;называется косвенной котировкой ;называется прямой котировкой;называется кросс-курс;называется спот-курс
