fan;Savol;JavobTuri;Javob1;Javob2;Javob3;Javob4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Conjuga el verbo SER en persona correspondiente. Ella _______ alemana;0;es;somos;eres;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Los art?culos defenidos singulares son ....;0;el, la;el, los;es la;un, una;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Los art?culos defenidos plurales son ....;0;los, las;la, unas;una, unas;los, unas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Los art?culos indefenidos singulares son ....;0;un, una;unos, los;uno, las;los, unas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el atr?culo correspondiente: Pluma est? sobre ____ mesa;0;la;el;las;los ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: ?_______ te llamas?;0;c?mo;qu?;qui?n;cu?l;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Mis padres _______ profesores.;0;son;somos;es ;soy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Juan _______ tomar un caf? esta tarde.;0;quiere;queremos;querra;queren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente:  Me ________ los deportes.;0;gustan;gustamos;gust?is;gustas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Sus abuelos son ____ Brasil. Son brasile?os.;0;de;por;a;con;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Mar?a _____ guapa.;0;es;son;somos;sois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Nosotros ____________ en una empresa importante.;0;trabajamos;trabajo;trabajas;trabajan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Mi hermano peque?o ________ 5 a?os.;0;tiene;tenga;tenemos;tienen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correspondiente. Este a?o voy ______vacaciones ;0;de;por;a;con;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa el dialogo:                           — Me encanta la comida asi?tica — A m? ___________. Est? buen?sima.";0;tambi?n;tampoco;no;como;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el atr?culo correspondiente. En _____ libros hay much informaci?n.;0;los;las;la ;el;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correspondiente. ?____ d?mde eres?;0;de;con;por;para;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? fecha ____ hoy?;0;es;son;somos;sois;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el atr?culo correspondiente. Tengo _____ zapatos muy c?modos.;0;unos;unas;una ;un ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el atr?culo correspondiente. En la clase faltan ______alumnos.;0;unos;unas;una;un;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: -?A qu? te dedicas? - ______ profesor.;0;soy;eres;somos;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el atr?culo correspondiente. No me gusta_____ chocolate.;0;el ;la;un;una;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige palabras que tienen tilde de acento.;0;d?a, men?;habl?, ?rdenador;l?bro, pl?ma;c?sa, n?che;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el atr?culo correspondiente. Nesecito ______ tijeras;0;unas;unos ;las;los;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige el verbo correspondiente: Flores _________ bien.;0;huelen;olamos;huelo;huelas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta: El hermano de mi padre es mi ________;0;t?o;suegro;primo;cu?ado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta:  La madre de mi madre es mi __________;0;abuela;t?a;prima;suegra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta:  La hija de mi t?a es mi ________;0;prima;abuela;t?a;cu?ada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Elige la palabra correcta: La hija de mi madre es mi _______;0;hermana;hija;prima;sobrina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta: Los nietos de mis padres son mis ________;0;hijos ;nietos;primos;hermanos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Con qu? d?a empieza la semana?;0;lunes;martes;mi?rcoles;viernes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Meses de invierno son _______;0;diciembre, enero, febrero;juio, julio;agosto, septiembre, octubre;marzo, abril, mayo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Meses de la primavera son__________;0;marzo, abril, mayo;diciembre, enero, febrero;agosto, septiembre, octubre;juio, julio, agosto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «V»?;0;uve;be;a;ce;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «96»?;0;noventa y seis;sesenta y seis;cuarenta ocho;cincuenta y dos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Mi amiga Ana tiene los ojos _______;0;verdes;rojas;negro;claro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Selecciona la opci?n correcta.ANA.— ? .......... vas a la fiesta? LUIS.— Voy a las diez.";0;Cu?ndo;cu?nto;c?mo;qu?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Hoy Cristina______________ muy temprano y desayuna sola en la cocina.;0;se despierta;me despierto;nos despertamos;me despierta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «G»?;0;ge;be;ce;ele;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la forma adecuada del verbo PODER: ?D?nde_____________encontrar una farmacia en este pueblo?;0;puedo;quiero;tengo;soy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Alguien pregunta: «?Puedo abrir la ventana?». ?C?mo respondes formalmente que no?;0;Perdone, pero estoy resfriado.;S?, s?, ?brela.;Disculpe, pero est? resuelta.;no, no puedes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «Ll»?;0;elle;ele;a;jota;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Qu? n?mero es: «47»?;0;cuarenta y siete;ochenta y dos;cincuenta y tres;noventa y cinco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «H»?;0;hache;jota;igriega;uve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa con la preposici?n correcta. Este a?o voy de vacaciones _______ Mallorca.;0;a ;por;de;con;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Ella sabe ___________ franc?s;0;el;la;los;las;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Elige la palabra correcta. ?D?nde ____________ la biblioteca municipal ";0;est?;estamos;somos;son;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?C?mo se llama la letra «J»?;0;jota;ge;igriega;elle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta: Son las nueve menos veinte. ;0;8:40;10:10;8:45;9:15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta: Son las cinco y media;0;5:30;6:45;7:15;5:40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Encuentra la opci?n correcta: ""6:15""";0;son las seis y cuarto;son las siete y media;son las nueve menos diez;es la una de la tarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correspondiente: Ella ___________ hablar en espa?ol.;0;puede;podemos;podr?;pueden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
