Fan nomi (uz, ru);Savol;Javob turi bir javobli (0)/ ko`p javobli (1);Javob1;Javob2;Javob3;Javob4;To’g’ri javob;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Espa?a _______  un pa?s de las danzas.;0;es;somos;eres;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Completa la oraci?n. Cada d?a yo  _______  a las 7 de la ma?ana.;0;me despierto;te despiertas;se despierta;os despert?is;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la opci?n correcta. ?_______ est? la bibilioteca?;0;D?nde;cu?nto;cu?ndo;c?mo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Encuentra la contesta. ?Cu?ntos a?os tiene Juan?;0;Tiene 16 a?os;tengo 21 a?os;tienes 8 a?os;tenemos 12 a?os;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Pluma est?  ____ la mesa;0;sobre;con;de;por;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: ?_______ te llamas?;0;c?mo;qu?;qui?n;cu?l;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente:  _______ padres son profesores.;0;mis;nosotros;me;os ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la forma correspondiente del QUERER. Juan _______ tomar algo.;0;quiere;queremos;querra;queren;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente:  Me ________ los deportes.;0;gustan;gustamos;gust?is;gustas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: Sus abuelos son ____ Brasil. Son brasile?os.;0;de;por;a;con;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Mar?a _____ guapa.;0;es;son;somos;sois;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente (TRABAJAR). Nosotros ____________ en una empresa importante.;0;trabajamos;trabajo;trabajas;trabajan;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente. Mi amiga ________ 15 a?os.;0;tiene;tenga;tenemos;tienen;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correspondiente. Este a?o voy ______vacaciones ;0;de;por;a;con;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);"Completa el dialogo:                           — Me encanta la comida asi?tica.— A m? ___________. Est? buen?sima.";0;tambi?n;tampoco;no;como;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. En los libros hay  _____  informaci?n.;0;mucha;las;tan;el;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la preposici?n correspondiente. ?____ d?nde eres?;0;de;con;por;para;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. ?Qu? fecha ____ hoy?;0;es;son;somos;sois;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga el art?culo correspondiente. Tengo _____ zapatos muy c?modos.;0;unos;unas;una ;un ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. En la clase faltan ______alumnos.;0;unos;unas;una;un;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la respuesta correspondiente: -?A qu? te dedicas? - ______ profesor.;0;soy;eres;somos;son;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. No me _____ el  chocolate.;0;gusta;pero;gustamos;una;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige palabras que tienen tilde de acento.;0;d?a, men?;habl?, ?rdenador;l?bro, pl?ma;c?sa, n?che;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Ponga la palabra correspondiente. La vida cotidiana no tiene que ______ aburrido.;0;ser;abrir;poner;comer;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige el verbo correspondiente: Todos tus perfumes _________ bien.;0;huelen;olamos;huelo;huelas;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta: El hermano de mi padre es mi ________;0;t?o;suegro;primo;cu?ado;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta:  La madre de mi madre es mi __________;0;abuela;t?a;prima;suegra;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta:  La hija de mi t?a es mi ________;0;prima;abuela;t?a;cu?ada;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili); Elige la palabra correcta: La hija de mi madre es mi _______;0;hermana;hija;prima;sobrina;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);Elige la palabra correcta: Los nietos de mis padres son mis ________;0;hijos ;nietos;primos;hermanos;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xorijiy til (Ispan tili);?Con qu? d?a termina la semana?;0;domingo;martes;mi?rcoles;viernes;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
