Savol;Javob1;Javob2;Javob3;Javob4;
1.Adabiy tilning qanday shakli bor?;og`zaki adabiy til va yozma adabiy til;Xalq shevalari va adabiy til;so`zlashuv uslubi va kitobiy til;so`zlashuv, ilmiy, rasmiy va badiiy uslublar;
2.Xalq shevalarining qanday shakli mavjud?;Umumxalq tili va adabiy til shakli;Faqat yozma shakli;Faqat og’zaki shakli;Faqat adabiy til shakli;
3.Termin nima?;Kasbiy tushunchani belgilovchi, bir ma’noga ega bo‘lgan so‘z;Tarixiy so`z;Bir ma’noga ega bo‘lmagan so‘z; Kasbiy tushunchani bildirmasdan, ko‘p ma’nolikka ega so‘z;
4.Termin so‘zi qaysi tildan olingan?;lotin;ingliz;arab;rus;
5.So‘zning termindan asosiy farqi nimada?;matndaturlima`nolardakelishi,barchauchuntushunarlibo`lishi, ko‘pma’nogaegabo‘lishi;Barcha uchun tushunarli bo`lishi;Matnda turli ma`nolarda kelishi;ko‘p ma’nosi ega bo‘lishi;
6.Termin qaysi sohaga tegishli boladi?;iqtisodiyotga, fan-texnikasohasiga, ishlab chiqarishga;Ishlab chiqarishga;fan-texnika sohaga;iqtisodiyotga;
7.Taqriz so`ziqandayma’noni anglatadi?;ijobiy baho;a’lo baho;salbiy baho;Yaxshi baho;
8.XX asrdan so‘ng o‘zbek xonlari va amirlari saroylarida yozilgan turli xil hujjatlar ………………………..bilan ajralib turadi.;o‘ziga xos mazmuni, muayyan tartibi va nutqiy qolipi;o‘ziga xos mazmuni, muayyan tartibi ;o‘ziga xos mazmuni va nutqiy qolipi;aniqligi, to‘g‘riligi, muayyan tartibi;
9.Hujjatlarmatnigaqo`yiladiganengmuhimtalablarnima?;Xolislik, aniqlik, ixchamlik, lo‘ndalik, mazmuniy to‘liqlik;Samimiylik, ixchamlik, lo‘ndalik,mazmuniy to‘liqlik;to‘g‘rilik, lo‘ndalik, mazmuniy to‘liqlik;aniqlik,  ixchamlik, lo‘ndalik, mazmuniy to‘liqlik;
10.Tuzilish o‘rniga ko‘ra  hujjatlar qandayfarqlanadi?;ichki va tashqi;sodda va murakkab;Qolipli va namunaviy;Xususiy va umumiy;
11.Mazmuniga ko‘ra hujjatlar qanday farqlanadi?;sodda va murakkab;Shaxsiy va rasmiy;Qolipli va namunaviy;Xususiy va umumiy;
12.Mazmun bayonining shakli jihatidan hujjatlar qandayfarqlanadi?;xususiy, namunaviy, qolipli;namunaviy, qolipli;xususiy, namunaviy,xizmat (rasmiy);xususiy, namunaviy, qolipli, xizmat (rasmiy);
13.Xizmat (rasmiy) va shaxsiy hujjatlar  qanday  jihatiga ko‘ra  farqlanadi?;tegishlilik;qoliplilik;xususiylik;umumiylik;
14.Asl nusxa yo‘qolgan hollarda hujjatning ikkinchi nusxasi (dublikati) beriladi va u asl nusxa bilan teng huquqlidir.Yuqoridagi ta’rifqaysinushagategishli?;Ikkinchi nusxa;Asl nusxa;Ko‘chirma nusxa;Erkin nusxa;
